ID,q4_lat,q4_long,q4_district,q56,Avg_Income,ZONASTAT
"6589",45.07646,7.67914,Torino,"15",15000,"01"
"108886",45.07597321,7.678367043,Torino,"4",2250.5,"01"
"6735",45.07515,7.68112,Torino,"8",4250.5,"01"
"3703",45.07444,7.67909,Torino,"4",2250.5,"01"
"5758",45.07409,7.67826,Torino,"5",2750.5,"01"
"6067",45.0744,7.67914,Torino,"9",5500.5,"01"
"6229",45.07449,7.67909,Torino,"2",1250.5,"01"
"6472",45.07443,7.67914,Torino,"5",2750.5,"01"
"6507",45.07439,7.67915,Torino,"5",2750.5,"01"
"6620",45.0743,7.67914,Torino,"15",15000,"01"
"6775",45.07437,7.67899,Torino,"15",15000,"01"
"6867",45.0742,7.67956,Torino,"2",1250.5,"01"
"6905",45.07438,7.67912,Torino,"6",3250.5,"01"
"7206",45.07435,7.67906,Torino,"4",2250.5,"01"
"6274",45.07313,7.67947,Torino,"5",2750.5,"01"
"6325",45.07399,7.68016,Torino,"3",1750.5,"01"
"6343",45.07414,7.67997,Torino,"4",2250.5,"01"
"6367",45.074,7.68002,Torino,"2",1250.5,"01"
"6503",45.07404,7.67992,Torino,"5",2750.5,"01"
"6547",45.07404,7.68008,Torino,"5",2750.5,"01"
"6672",45.07317,7.67934,Torino,"15",15000,"01"
"6783",45.0741,7.67991,Torino,"3",1750.5,"01"
"6914",45.07307,7.67946,Torino,"3",1750.5,"01"
"6973",45.07398,7.68021,Torino,"4",2250.5,"01"
"6988",45.07317,7.67906,Torino,"3",1750.5,"01"
"104441",45.07412455,7.679793978,Torino,"5",2750.5,"01"
"6690",45.07282,7.68047,Torino,"2",1250.5,"01"
"6418",45.07283,7.67945,Torino,"2",1250.5,"01"
"105121",45.07118475,7.682444,Torino,"2",1250.5,"01"
"105370",45.07121506,7.683559799,Torino,"6",3250.5,"01"
"4544",45.07103,7.68437,Torino,"15",15000,"01"
"103498",45.07154844,7.684546852,Torino,"14",12500.5,"01"
"105227",45.0713969,7.68493309,Torino,"15",15000,"01"
"105250",45.07127567,7.684632683,Torino,"6",3250.5,"01"
"105834",45.07168483,7.684825802,Torino,"6",3250.5,"01"
"109008",45.07260921,7.676092529,Torino,"8",4250.5,"01"
"3911",45.07216,7.67713,Torino,"15",15000,"01"
"3917",45.07221,7.67735,Torino,"15",15000,"01"
"104169",45.07226825,7.678372407,Torino,"2",1250.5,"01"
"105348",45.07200306,7.678324127,Torino,"6",3250.5,"01"
"108989",45.07273044,7.678324127,Torino,"5",2750.5,"01"
"105610",45.07003303,7.68207922,Torino,"5",2750.5,"01"
"105743",45.06979056,7.682143593,Torino,"7",3750.5,"01"
"102708",45.07151814,7.676521683,Torino,"3",1750.5,"01"
