,ID,q3_lat,q3_long,q3_district,q4_lat,q4_long,q4_district,q56,q1_Impo,q6_motcode,Avg_Income
0,109,45.23821,7.60256,Ciriè,45.05364,7.68425,Torino,4.0,3,1,2250.5
1,115,45.0739,7.7236,Torino,45.06268,7.66314,Torino,5.0,3,5,2750.5
3,121,45.04892,7.64986,Torino,45.04514,7.6605,Torino,2.0,1,2,1250.5
4,126,45.06631,7.65497,Torino,45.06546,7.65679,Torino,5.0,3,11,2750.5
6,128,45.09709,7.69292,Torino,45.06297,7.67794,Torino,3.0,1,5,1750.5
7,130,45.046,7.67482,Torino,45.05433,7.68633,Torino,3.0,1,11,1750.5
8,138,43.81,7.75686,Sanremo,45.06503,7.65378,Torino,5.0,7,2,2750.5
9,143,44.98574,8.32145,Montemagno,45.06253,7.66291,Torino,5.0,3,1,2750.5
10,154,45.04925,7.67834,Torino,45.06267,7.6604,Torino,12.0,3,5,8500.5
11,158,45.06025,7.68474,Torino,45.06241,7.66245,Torino,10.0,3,5,6500.5
12,161,45.09129,7.70123,Torino,45.06268,7.66247,Torino,5.0,1,5,2750.5
13,169,45.05518,7.34767,Giaveno,45.06276,7.66049,Torino,9.0,3,1,5500.5
14,184,45.00799,7.67143,Moncalieri,45.06566,7.65869,Torino,4.0,3,5,2250.5
15,199,45.05372,7.67661,Torino,45.06261,7.66281,Torino,5.0,3,5,2750.5
16,203,45.07285,7.57868,Collegno,45.06242,7.6626,Torino,10.0,3,1,6500.5
17,218,45.05907,7.64333,Torino,45.06444,7.65672,Torino,6.0,1,11,3250.5
18,229,45.06679,7.65299,Torino,45.01503,7.56703,Orbassano,9.0,1,5,5500.5
19,258,45.05991,7.66728,Torino,45.06246,7.66224,Torino,8.0,3,11,4250.5
20,259,45.07294,7.66637,Torino,45.05329,7.68237,Torino,15.0,3,9,15000.0
21,261,45.05839,7.66164,Torino,45.06267,7.65986,Torino,4.0,3,11,2250.5
22,264,45.04405,7.65294,Torino,45.01184,7.64464,Torino,2.0,1,9,1250.5
23,267,45.10262,7.68281,Torino,45.08562,7.66058,Torino,7.0,5,2,3750.5
25,272,45.04777,7.66147,Torino,45.19753,7.65005,Caselle Torinese,10.0,1,1,6500.5
26,276,45.05606,7.62863,Torino,45.06068,7.66024,Torino,4.0,3,9,2250.5
27,568,44.99587,7.64765,Nichelino,45.06261,7.66234,Torino,3.0,3,1,1750.5
28,294,45.05977,7.64245,Torino,45.06494,7.65811,Torino,3.0,3,9,1750.5
29,297,45.08839,7.68064,Torino,45.0626,7.66268,Torino,5.0,3,9,2750.5
30,307,44.7678,7.78536,Sommariva del Bosco,45.06048,7.66106,Torino,5.0,1,1,2750.5
31,309,45.06212,7.67538,Torino,45.06084,7.66023,Torino,9.0,1,11,5500.5
32,310,45.05074,7.65089,Torino,45.06512,7.65746,Torino,5.0,3,5,2750.5
34,314,45.07769,8.39919,Rosignano Monferrato,45.06277,7.66233,Torino,5.0,3,1,2750.5
35,322,45.06958,7.52031,Rivoli,45.0626,7.66232,Torino,2.0,3,1,1250.5
36,323,45.03867,7.65496,Torino,45.05445,7.68543,Torino,2.0,3,5,1250.5
37,325,45.06451,7.64927,Torino,45.06228,7.66273,Torino,15.0,3,11,15000.0
39,341,45.07764,7.66927,Torino,45.06249,7.66228,Torino,6.0,3,5,3250.5
40,343,45.08356,7.6904,Torino,45.06243,7.6623,Torino,6.0,3,5,3250.5
41,344,45.07563,7.65093,Torino,45.0624,7.66238,Torino,6.0,3,11,3250.5
42,351,45.066,7.43465,Buttigliera Alta,45.03038,7.6188,Torino,10.0,3,1,6500.5
43,355,45.05878,7.65679,Torino,45.06245,7.66236,Torino,4.0,3,10,2250.5
44,357,45.07067,7.63187,Torino,45.06212,7.66256,Torino,3.0,3,5,1750.5
45,361,44.97204,7.47275,Piossasco,45.03007,7.61829,Torino,3.0,3,6,1750.5
46,363,45.0553,7.659,Torino,45.05773,7.66083,Torino,5.0,4,11,2750.5
47,366,45.08578,7.51538,Alpignano,45.05342,7.68531,Torino,10.0,3,1,6500.5
48,373,44.80906,8.14693,Costigliole d'Asti,45.06245,7.66241,Torino,3.0,3,1,1750.5
50,394,45.06839,7.65284,Torino,45.06406,7.65999,Torino,11.0,3,11,7500.5
51,397,45.08288,7.40516,Avigliana,45.06279,7.65984,Torino,8.0,3,1,4250.5
52,408,45.06365,7.7099,Torino,45.06246,7.66236,Torino,8.0,3,11,4250.5
53,411,45.0674,7.62188,Torino,45.06481,7.65826,Torino,15.0,3,5,15000.0
54,423,44.91462,7.84294,Poirino,45.06218,7.66264,Torino,4.0,3,1,2250.5
55,425,45.06673,7.69212,Torino,45.06542,7.6556,Torino,5.0,3,5,2750.5
56,430,45.05085,7.67485,Torino,45.02989,7.61824,Torino,15.0,3,1,15000.0
57,431,45.14218,7.76731,Settimo Torinese,45.05461,7.68442,Torino,5.0,3,1,2750.5
58,811,45.06888,7.69266,Torino,45.05455,7.6848,Torino,2.0,1,9,1250.5
59,434,45.05239,7.68172,Torino,45.06252,7.66244,Torino,2.0,3,5,1250.5
60,435,45.05898,7.66184,Torino,45.06393,7.66062,Torino,4.0,1,11,2250.5
61,439,45.06637,7.64846,Torino,45.06472,7.65868,Torino,11.0,3,11,7500.5
62,448,45.05806,7.67238,Torino,45.06247,7.66214,Torino,5.0,3,11,2750.5
63,449,45.06778,7.65215,Torino,45.06273,7.6607,Torino,7.0,3,11,3750.5
64,461,45.05951,7.65943,Torino,45.0624,7.66263,Torino,7.0,3,11,3750.5
65,813,45.05866,7.6729,Torino,45.03018,7.61854,Torino,10.0,3,5,6500.5
66,812,45.0342,7.64219,Torino,45.02913,7.62018,Torino,7.0,3,9,3750.5
67,472,45.06982,7.51976,Rivoli,45.06254,7.66238,Torino,15.0,3,1,15000.0
68,475,44.9518,7.51251,Volvera,45.06351,7.65947,Torino,7.0,3,1,3750.5
69,477,45.05547,7.64514,Torino,45.06224,7.6626,Torino,2.0,3,10,1250.5
70,478,45.1943,7.89242,Chivasso,45.06276,7.66035,Torino,3.0,3,4,1750.5
71,814,45.0819,7.66546,Torino,45.11079,7.74239,San Mauro Torinese,6.0,5,2,3250.5
72,504,45.07628,7.65631,Torino,44.65693,7.98157,Grinzane Cavour,8.0,3,5,4250.5
73,498,45.01177,7.66558,Moncalieri,45.06227,7.66263,Torino,6.0,1,1,3250.5
74,501,44.64702,7.85509,Cherasco,45.06237,7.66244,Torino,5.0,3,4,2750.5
75,508,44.9429,7.9129,Villanova d'Asti,45.06421,7.65722,Torino,14.0,3,3,12500.5
76,522,45.05721,7.67678,Torino,45.06622,7.66095,Torino,2.0,1,2,1250.5
77,511,45.02095,7.46818,Bruino,45.06252,7.66217,Torino,11.0,3,2,7500.5
78,513,45.05176,7.66299,Torino,45.06258,7.66051,Torino,12.0,3,5,8500.5
79,514,45.33051,7.64985,Busano,45.0588,7.6758,Torino,6.0,3,1,3250.5
80,519,45.06915,7.6884,Torino,45.06256,7.6624,Torino,5.0,3,5,2750.5
81,520,44.64374,7.65078,Savigliano,45.06249,7.66214,Torino,6.0,3,1,3250.5
82,523,45.06712,7.69227,Torino,45.0625,7.6623,Torino,4.0,3,5,2250.5
83,525,45.04772,7.67722,Torino,45.06238,7.6624,Torino,14.0,3,5,12500.5
84,529,45.09031,7.71523,Torino,45.06246,7.66275,Torino,5.0,3,2,2750.5
85,534,45.05338,7.65108,Torino,45.06253,7.66192,Torino,3.0,3,11,1750.5
86,535,45.0646,7.6511,Torino,45.06234,7.66123,Torino,4.0,3,11,2250.5
