SEZCENS,NCIRCO,ZONASTAT,SUPERF,AREA_CENS,CODASC,P_TOT,MALE_TOT,FEM_TOT,age 0-9,age 10-24,age 25-39,age 40-64,age >65,male 0-9,male 10-24,male 25-39,male 40-64,male >65,P47,P48,P49,P50,P51,P52,P61,P62,P128,P130,P131,P135,P137,P138,ST1,ST3,ST4,ST5,ST9,ST10,ST11,ST12,ST13,PF1,PF2,PF3,PF4,PF5,PF6,PF7,PF8,PF9,INCOMEinco
907,8,"20",32138.47,"78","8","111","49","62","7","9","24","49","30","2","4","15","18","10","28","37","26","11","4","0","49","2","52","9","7","8","46","8","11","5","6","0","5","0","3","3","0","66","111","39","13","10","4","0","0","0",5415.239999999999782
908,8,"20",6237.15,"78","8","66","34","32","2","3","18","26","28","2","1","11","6","14","30","20","12","0","1","1","31","3","28","3","2","2","26","4","2","1","0","1","1","0","0","1","0","41","66","24","10","6","1","0","0","0",5415.239999999999782
911,8,"20",7672.77,"78","8","247","121","126","18","21","43","102","81","9","13","23","41","35","60","87","59","20","10","0","99","7","115","18","15","7","103","8","12","7","3","2","4","2","6","0","0","123","247","46","43","23","9","2","0","0",5415.239999999999782
920,8,"20",10379.46,"78","8","254","117","137","28","26","51","112","52","18","12","20","46","21","49","73","59","37","21","1","110","4","97","18","12","7","119","15","42","19","20","3","21","15","6","0","0","132","253","66","30","21","11","4","0","0",5415.239999999999782
924,8,"20",9084.13,"78","8","304","132","172","20","41","32","144","86","14","18","14","52","34","97","88","64","31","12","0","133","4","127","20","18","9","132","20","28","7","18","3","16","0","12","0","0","150","304","61","47","24","14","3","1","6",5415.239999999999782
928,8,"20",6682.81,"78","8","195","88","107","9","19","32","89","61","2","11","15","33","27","31","59","57","33","8","0","89","3","84","9","6","9","86","15","8","3","5","0","3","4","1","0","0","103","195","42","36","19","6","0","0","0",5415.239999999999782
930,8,"20",9243.19,"78","8","300","143","157","24","28","48","138","79","19","12","23","51","38","95","104","48","25","11","0","135","4","131","14","21","11","136","18","8","3","4","1","6","2","0","0","0","145","300","53","49","27","12","4","0","0",5415.239999999999782
932,8,"20",4875.94,"78","8","182","101","81","10","22","36","76","55","6","14","17","36","28","42","60","45","21","8","0","71","3","87","20","7","10","65","9","20","9","10","1","14","4","2","0","0","99","182","48","28","16","6","0","1","6",5415.239999999999782
933,8,"20",7139.68,"78","8","219","99","120","17","33","38","98","41","9","15","15","46","14","59","64","58","19","6","1","103","4","86","20","18","11","88","27","49","16","30","3","31","3","8","7","0","104","219","41","31","16","12","4","0","0",5415.239999999999782
940,8,"20",4434.31,"78","8","213","103","110","22","31","55","81","32","11","13","29","36","14","27","50","67","33","18","2","90","15","73","20","11","6","102","12","37","18","15","4","14","14","4","5","0","92","213","30","26","16","17","3","0","0",5415.239999999999782
