,SEZCENS,NCIRCO,ZONASTAT,SUPERF,AREA_CENS,CODASC,P_TOT,MALE_TOT,FEM_TOT,age 0-9,age 10-24,age 25-39,age 40-64,age >65,male 0-9,male 10-24,male 25-39,male 40-64,male >65,P47,P48,P49,P50,P51,P52,P61,P62,P128,P130,P131,P135,P137,P138,ST1,ST3,ST4,ST5,ST9,ST10,ST11,ST12,ST13,PF1,PF2,PF3,PF4,PF5,PF6,PF7,PF8,PF9,INCOMEinco,home,work,eating,entertainment,recreation,shopping,travel,admin_chores,religious,health,police,education
0,907,8,20,32138.47,78.0,8.0,111.0,49.0,62.0,7.0,9.0,24.0,49.0,30.0,2.0,4.0,15.0,18.0,10.0,28.0,37.0,26.0,11.0,4.0,0.0,49.0,2.0,52.0,9.0,7.0,8.0,46.0,8.0,11.0,5.0,6.0,0.0,5.0,0.0,3.0,3.0,0.0,66.0,111.0,39.0,13.0,10.0,4.0,0.0,0.0,0.0,5415.24,0.09000000000000001,0.15785714285714286,0.11571428571428573,0.0,0.057857142857142864,0.2892857142857143,0.057857142857142864,0.0,0.0,0.23142857142857146,0.0,0.0
1,908,8,20,6237.15,78.0,8.0,66.0,34.0,32.0,2.0,3.0,18.0,26.0,28.0,2.0,1.0,11.0,6.0,14.0,30.0,20.0,12.0,0.0,1.0,1.0,31.0,3.0,28.0,3.0,2.0,2.0,26.0,4.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,41.0,66.0,24.0,10.0,6.0,1.0,0.0,0.0,0.0,5415.24,0.09000000000000001,0.37,0.0,0.27,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0
2,911,8,20,7672.77,78.0,8.0,247.0,121.0,126.0,18.0,21.0,43.0,102.0,81.0,9.0,13.0,23.0,41.0,35.0,60.0,87.0,59.0,20.0,10.0,0.0,99.0,7.0,115.0,18.0,15.0,7.0,103.0,8.0,12.0,7.0,3.0,2.0,4.0,2.0,6.0,0.0,0.0,123.0,247.0,46.0,43.0,23.0,9.0,2.0,0.0,0.0,5415.24,0.09000000000000001,0.42400000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.486,0.0,0.0
3,920,8,20,10379.46,78.0,8.0,254.0,117.0,137.0,28.0,26.0,51.0,112.0,52.0,18.0,12.0,20.0,46.0,21.0,49.0,73.0,59.0,37.0,21.0,1.0,110.0,4.0,97.0,18.0,12.0,7.0,119.0,15.0,42.0,19.0,20.0,3.0,21.0,15.0,6.0,0.0,0.0,132.0,253.0,66.0,30.0,21.0,11.0,4.0,0.0,0.0,5415.24,0.09000000000000001,0.1,0.0675,0.0,0.04050000000000001,0.648,0.0,0.0,0.0,0.054000000000000006,0.0,0.0
4,924,8,20,9084.13,78.0,8.0,304.0,132.0,172.0,20.0,41.0,32.0,144.0,86.0,14.0,18.0,14.0,52.0,34.0,97.0,88.0,64.0,31.0,12.0,0.0,133.0,4.0,127.0,20.0,18.0,9.0,132.0,20.0,28.0,7.0,18.0,3.0,16.0,0.0,12.0,0.0,0.0,150.0,304.0,61.0,47.0,24.0,14.0,3.0,1.0,6.0,5415.24,0.09000000000000001,0.1675,0.20249999999999999,0.0,0.0675,0.0675,0.0,0.0,0.0,0.40499999999999997,0.0,0.0
5,928,8,20,6682.81,78.0,8.0,195.0,88.0,107.0,9.0,19.0,32.0,89.0,61.0,2.0,11.0,15.0,33.0,27.0,31.0,59.0,57.0,33.0,8.0,0.0,89.0,3.0,84.0,9.0,6.0,9.0,86.0,15.0,8.0,3.0,5.0,0.0,3.0,4.0,1.0,0.0,0.0,103.0,195.0,42.0,36.0,19.0,6.0,0.0,0.0,0.0,5415.24,0.09,0.1,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.72,0.0,0.0
6,930,8,20,9243.19,78.0,8.0,300.0,143.0,157.0,24.0,28.0,48.0,138.0,79.0,19.0,12.0,23.0,51.0,38.0,95.0,104.0,48.0,25.0,11.0,0.0,135.0,4.0,131.0,14.0,21.0,11.0,136.0,18.0,8.0,3.0,4.0,1.0,6.0,2.0,0.0,0.0,0.0,145.0,300.0,53.0,49.0,27.0,12.0,4.0,0.0,0.0,5415.24,0.08999999999999998,0.15399999999999997,0.054,0.0,0.162,0.324,0.054,0.0,0.0,0.162,0.0,0.0
7,932,8,20,4875.94,78.0,8.0,182.0,101.0,81.0,10.0,22.0,36.0,76.0,55.0,6.0,14.0,17.0,36.0,28.0,42.0,60.0,45.0,21.0,8.0,0.0,71.0,3.0,87.0,20.0,7.0,10.0,65.0,9.0,20.0,9.0,10.0,1.0,14.0,4.0,2.0,0.0,0.0,99.0,182.0,48.0,28.0,16.0,6.0,0.0,1.0,6.0,5415.24,0.09000000000000001,0.1,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0
8,933,8,20,7139.68,78.0,8.0,219.0,99.0,120.0,17.0,33.0,38.0,98.0,41.0,9.0,15.0,15.0,46.0,14.0,59.0,64.0,58.0,19.0,6.0,1.0,103.0,4.0,86.0,20.0,18.0,11.0,88.0,27.0,49.0,16.0,30.0,3.0,31.0,3.0,8.0,7.0,0.0,104.0,219.0,41.0,31.0,16.0,12.0,4.0,0.0,0.0,5415.24,0.144,0.26199999999999996,0.054,0.0,0.054,0.0,0.0,0.0,0.0,0.486,0.0,0.0
9,940,8,20,4434.31,78.0,8.0,213.0,103.0,110.0,22.0,31.0,55.0,81.0,32.0,11.0,13.0,29.0,36.0,14.0,27.0,50.0,67.0,33.0,18.0,2.0,90.0,15.0,73.0,20.0,11.0,6.0,102.0,12.0,37.0,18.0,15.0,4.0,14.0,14.0,4.0,5.0,0.0,92.0,213.0,30.0,26.0,16.0,17.0,3.0,0.0,0.0,5415.24,0.09,0.1,0.18,0.09,0.0,0.45,0.0,0.0,0.0,0.09,0.0,0.0
